"rango_edad","genero","total","dep"
"0-4",1,28517,1
"0-4",2,28407,1
"10-14",1,21648,1
"10-14",2,20063,1
"15-19",1,16654,1
"15-19",2,18228,1
"20-24",1,13239,1
"20-24",2,15145,1
"25-29",1,11864,1
"25-29",2,13380,1
"30-34",1,9735,1
"30-34",2,10901,1
"35-39",1,9317,1
"35-39",2,10313,1
"40-44",1,7073,1
"40-44",2,8304,1
"45-49",1,7317,1
"45-49",2,8089,1
"5-9",1,25201,1
"5-9",2,25100,1
"50-54",1,5257,1
"50-54",2,6407,1
"55-59",1,4390,1
"55-59",2,5036,1
"60-64",1,4519,1
"60-64",2,5107,1
"65-69",1,3032,1
"65-69",2,3411,1
"70-74",1,2237,1
"70-74",2,2865,1
"75-79",1,1484,1
"75-79",2,1620,1
"80+",1,2105,1
"80+",2,2523,1
"0-4",1,111950,2
"0-4",2,110097,2
"10-14",1,88151,2
"10-14",2,83577,2
"15-19",1,77001,2
"15-19",2,79327,2
"20-24",1,64388,2
"20-24",2,68479,2
"25-29",1,54243,2
"25-29",2,57717,2
"30-34",1,44013,2
"30-34",2,46071,2
"35-39",1,36246,2
"35-39",2,40614,2
"40-44",1,31554,2
"40-44",2,34009,2
"45-49",1,32479,2
"45-49",2,33995,2
"5-9",1,97623,2
"5-9",2,96840,2
"50-54",1,22254,2
"50-54",2,24315,2
"55-59",1,17186,2
"55-59",2,18904,2
"60-64",1,13829,2
"60-64",2,16296,2
"65-69",1,10203,2
"65-69",2,12115,2
"70-74",1,6428,2
"70-74",2,8948,2
"75-79",1,5001,2
"75-79",2,5711,2
"80+",1,7279,2
"80+",2,8527,2
"0-4",1,56710,3
"0-4",2,55637,3
"10-14",1,42602,3
"10-14",2,39697,3
"15-19",1,37597,3
"15-19",2,39375,3
"20-24",1,30249,3
"20-24",2,32803,3
"25-29",1,25109,3
"25-29",2,27054,3
"30-34",1,19760,3
"30-34",2,21771,3
"35-39",1,17908,3
"35-39",2,20438,3
"40-44",1,13590,3
"40-44",2,15808,3
"45-49",1,14806,3
"45-49",2,16530,3
"5-9",1,48440,3
"5-9",2,47693,3
"50-54",1,10212,3
"50-54",2,12604,3
"55-59",1,8917,3
"55-59",2,10656,3
"60-64",1,8442,3
"60-64",2,10225,3
"65-69",1,5673,3
"65-69",2,7095,3
"70-74",1,3585,3
"70-74",2,5137,3
"75-79",1,2754,3
"75-79",2,3625,3
"80+",1,3546,3
"80+",2,4783,3
"0-4",1,24670,4
"0-4",2,24177,4
"10-14",1,19268,4
"10-14",2,18504,4
"15-19",1,17187,4
"15-19",2,17555,4
"20-24",1,13249,4
"20-24",2,13984,4
"25-29",1,10317,4
"25-29",2,11523,4
"30-34",1,8148,4
"30-34",2,9147,4
"35-39",1,6959,4
"35-39",2,8234,4
"40-44",1,6359,4
"40-44",2,7488,4
"45-49",1,6702,4
"45-49",2,7438,4
"5-9",1,21453,4
"5-9",2,21050,4
"50-54",1,4787,4
"50-54",2,5438,4
"55-59",1,3732,4
"55-59",2,4177,4
"60-64",1,2600,4
"60-64",2,3422,4
"65-69",1,2009,4
"65-69",2,2564,4
"70-74",1,1250,4
"70-74",2,1747,4
"75-79",1,986,4
"75-79",2,1177,4
"80+",1,1418,4
"80+",2,1690,4
"0-4",1,52876,5
"0-4",2,52360,5
"10-14",1,38479,5
"10-14",2,36214,5
"15-19",1,31112,5
"15-19",2,33129,5
"20-24",1,24262,5
"20-24",2,27839,5
"25-29",1,22132,5
"25-29",2,24979,5
"30-34",1,18876,5
"30-34",2,21035,5
"35-39",1,16815,5
"35-39",2,19381,5
"40-44",1,13763,5
"40-44",2,16057,5
"45-49",1,14502,5
"45-49",2,16100,5
"5-9",1,44847,5
"5-9",2,43846,5
"50-54",1,10435,5
"50-54",2,12446,5
"55-59",1,7972,5
"55-59",2,9445,5
"60-64",1,7271,5
"60-64",2,8920,5
"65-69",1,4552,5
"65-69",2,5869,5
"70-74",1,3354,5
"70-74",2,4538,5
"75-79",1,2405,5
"75-79",2,3005,5
"80+",1,3979,5
"80+",2,4738,5
"0-4",1,14826,6
"0-4",2,14849,6
"10-14",1,12155,6
"10-14",2,11487,6
"15-19",1,11717,6
"15-19",2,10853,6
"20-24",1,8081,6
"20-24",2,8173,6
"25-29",1,6726,6
"25-29",2,6767,6
"30-34",1,5178,6
"30-34",2,5196,6
"35-39",1,4576,6
"35-39",2,4954,6
"40-44",1,3563,6
"40-44",2,3625,6
"45-49",1,3606,6
"45-49",2,3631,6
"5-9",1,13794,6
"5-9",2,13287,6
"50-54",1,2476,6
"50-54",2,2700,6
"55-59",1,2116,6
"55-59",2,2143,6
"60-64",1,1962,6
"60-64",2,1913,6
"65-69",1,1353,6
"65-69",2,1235,6
"70-74",1,835,6
"70-74",2,964,6
"75-79",1,582,6
"75-79",2,591,6
"80+",1,542,6
"80+",2,748,6
"0-4",1,60927,7
"0-4",2,59468,7
"10-14",1,44308,7
"10-14",2,42477,7
"15-19",1,44116,7
"15-19",2,39916,7
"20-24",1,35948,7
"20-24",2,34337,7
"25-29",1,29223,7
"25-29",2,27603,7
"30-34",1,22226,7
"30-34",2,19788,7
"35-39",1,18867,7
"35-39",2,18292,7
"40-44",1,13744,7
"40-44",2,12607,7
"45-49",1,12748,7
"45-49",2,11552,7
"5-9",1,51705,7
"5-9",2,50496,7
"50-54",1,8806,7
"50-54",2,8613,7
"55-59",1,6824,7
"55-59",2,6261,7
"60-64",1,5741,7
"60-64",2,5770,7
"65-69",1,3865,7
"65-69",2,3604,7
"70-74",1,2376,7
"70-74",2,2578,7
"75-79",1,1529,7
"75-79",2,1521,7
"80+",1,1243,7
"80+",2,1645,7
"0-4",1,15724,8
"0-4",2,15444,8
"10-14",1,11783,8
"10-14",2,10884,8
"15-19",1,10239,8
"15-19",2,8866,8
"20-24",1,7687,8
"20-24",2,7157,8
"25-29",1,5966,8
"25-29",2,5856,8
"30-34",1,4556,8
"30-34",2,4123,8
"35-39",1,3789,8
"35-39",2,3659,8
"40-44",1,3080,8
"40-44",2,2919,8
"45-49",1,2917,8
"45-49",2,2722,8
"5-9",1,13764,8
"5-9",2,13084,8
"50-54",1,2353,8
