"rango_edad","p25_sexo","total","dep"
"0-4",1,21342,"01"
"0-4",2,21717,"01"
"10-14",1,29489,"01"
"10-14",2,30397,"01"
"100+",1,103,"01"
"100+",2,53,"01"
"15-19",1,28326,"01"
"15-19",2,28884,"01"
"20-24",1,28774,"01"
"20-24",2,29005,"01"
"25-29",1,25996,"01"
"25-29",2,26449,"01"
"30-34",1,21999,"01"
"30-34",2,21784,"01"
"35-39",1,20579,"01"
"35-39",2,19893,"01"
"40-44",1,18479,"01"
"40-44",2,18221,"01"
"45-49",1,16694,"01"
"45-49",2,15662,"01"
"5-9",1,27159,"01"
"5-9",2,28235,"01"
"50-54",1,14002,"01"
"50-54",2,12961,"01"
"55-59",1,12385,"01"
"55-59",2,11043,"01"
"60-64",1,11685,"01"
"60-64",2,10494,"01"
"65-69",1,9216,"01"
"65-69",2,8310,"01"
"70-74",1,7694,"01"
"70-74",2,6561,"01"
"75-79",1,5588,"01"
"75-79",2,4497,"01"
"80-84",1,3559,"01"
"80-84",2,2810,"01"
"85-89",1,1961,"01"
"85-89",2,1213,"01"
"90-94",1,1471,"01"
"90-94",2,780,"01"
"95-99",1,365,"01"
"95-99",2,192,"01"
"0-4",1,99239,"02"
"0-4",2,104595,"02"
"10-14",1,135822,"02"
"10-14",2,142215,"02"
"100+",1,125,"02"
"100+",2,74,"02"
"15-19",1,127701,"02"
"15-19",2,130172,"02"
"20-24",1,134111,"02"
"20-24",2,136862,"02"
"25-29",1,133042,"02"
"25-29",2,132488,"02"
"30-34",1,122150,"02"
"30-34",2,120475,"02"
"35-39",1,112262,"02"
"35-39",2,107305,"02"
"40-44",1,105331,"02"
"40-44",2,101342,"02"
"45-49",1,88890,"02"
"45-49",2,83970,"02"
"5-9",1,130659,"02"
"5-9",2,135424,"02"
"50-54",1,78143,"02"
"50-54",2,74213,"02"
"55-59",1,65087,"02"
"55-59",2,60562,"02"
"60-64",1,59354,"02"
"60-64",2,55198,"02"
"65-69",1,45664,"02"
"65-69",2,42034,"02"
"70-74",1,35736,"02"
"70-74",2,32785,"02"
"75-79",1,25218,"02"
"75-79",2,22760,"02"
"80-84",1,15622,"02"
"80-84",2,13069,"02"
"85-89",1,7885,"02"
"85-89",2,5817,"02"
"90-94",1,3476,"02"
"90-94",2,2429,"02"
"95-99",1,920,"02"
"95-99",2,691,"02"
"0-4",1,72756,"03"
"0-4",2,75936,"03"
"10-14",1,95573,"03"
"10-14",2,100003,"03"
"100+",1,139,"03"
"100+",2,50,"03"
"15-19",1,91455,"03"
"15-19",2,92859,"03"
"20-24",1,94547,"03"
"20-24",2,94532,"03"
"25-29",1,89628,"03"
"25-29",2,86424,"03"
"30-34",1,81231,"03"
"30-34",2,78845,"03"
"35-39",1,72650,"03"
"35-39",2,69901,"03"
"40-44",1,65098,"03"
"40-44",2,62790,"03"
"45-49",1,53886,"03"
"45-49",2,51030,"03"
"5-9",1,93080,"03"
"5-9",2,96500,"03"
"50-54",1,46048,"03"
"50-54",2,43101,"03"
"55-59",1,39748,"03"
"55-59",2,36667,"03"
"60-64",1,36432,"03"
"60-64",2,33156,"03"
"65-69",1,29946,"03"
"65-69",2,26045,"03"
"70-74",1,23226,"03"
"70-74",2,19487,"03"
"75-79",1,16873,"03"
"75-79",2,12990,"03"
"80-84",1,11048,"03"
"80-84",2,7599,"03"
"85-89",1,5859,"03"
"85-89",2,3445,"03"
"90-94",1,2978,"03"
"90-94",2,1455,"03"
"95-99",1,870,"03"
"95-99",2,471,"03"
"0-4",1,20421,"04"
"0-4",2,21449,"04"
"10-14",1,27346,"04"
"10-14",2,28803,"04"
"100+",1,22,"04"
"100+",2,11,"04"
"15-19",1,24988,"04"
"15-19",2,25651,"04"
"20-24",1,25182,"04"
"20-24",2,26245,"04"
"25-29",1,24797,"04"
"25-29",2,24457,"04"
"30-34",1,22890,"04"
"30-34",2,22428,"04"
"35-39",1,21606,"04"
"35-39",2,20292,"04"
"40-44",1,19302,"04"
"40-44",2,18649,"04"
"45-49",1,15939,"04"
"45-49",2,15265,"04"
"5-9",1,26103,"04"
"5-9",2,26790,"04"
"50-54",1,13585,"04"
"50-54",2,12832,"04"
"55-59",1,11068,"04"
"55-59",2,10087,"04"
"60-64",1,10586,"04"
"60-64",2,9451,"04"
"65-69",1,8667,"04"
"65-69",2,7306,"04"
"70-74",1,6553,"04"
"70-74",2,5527,"04"
"75-79",1,4577,"04"
"75-79",2,3878,"04"
"80-84",1,2800,"04"
"80-84",2,2212,"04"
"85-89",1,1398,"04"
"85-89",2,949,"04"
"90-94",1,655,"04"
"90-94",2,418,"04"
"95-99",1,178,"04"
"95-99",2,108,"04"
"0-4",1,34983,"05"
"0-4",2,36283,"05"
"10-14",1,43587,"05"
"10-14",2,45992,"05"
"100+",1,68,"05"
"100+",2,31,"05"
"15-19",1,37524,"05"
"15-19",2,39325,"05"
"20-24",1,36165,"05"
"20-24",2,38695,"05"
"25-29",1,33531,"05"
"25-29",2,35701,"05"
"30-34",1,29329,"05"
"30-34",2,32117,"05"
"35-39",1,26676,"05"
"35-39",2,28845,"05"
"40-44",1,25482,"05"
"40-44",2,26699,"05"
"45-49",1,22250,"05"
"45-49",2,22324,"05"
"5-9",1,42342,"05"
"5-9",2,44819,"05"
"50-54",1,19042,"05"
"50-54",2,19083,"05"
"55-59",1,17150,"05"
"55-59",2,16108,"05"
"60-64",1,16655,"05"
"60-64",2,14708,"05"
"65-69",1,13979,"05"
"65-69",2,11917,"05"
"70-74",1,11235,"05"
"70-74",2,8832,"05"
"75-79",1,8124,"05"
"75-79",2,5969,"05"
"80-84",1,4819,"05"
"80-84",2,3425,"05"
"85-89",1,2681,"05"
"85-89",2,1557,"05"
"90-94",1,1740,"05"
"90-94",2,863,"05"
"95-99",1,423,"05"
"95-99",2,214,"05"
"0-4",1,17274,"06"
"0-4",2,17816,"06"
"10-14",1,24685,"06"
"10-14",2,25576,"06"
"100+",1,41,"06"
"100+",2,15,"06"
"15-19",1,21264,"06"
"15-19",2,23311,"06"
"20-24",1,21376,"06"
"20-24",2,21899,"06"
"25-29",1,23590,"06"
"25-29",2,22596,"06"
"30-34",1,22557,"06"
"30-34",2,21951,"06"
"35-39",1,20350,"06"
"35-39",2,19803,"06"
"40-44",1,18727,"06"
"40-44",2,18004,"06"
"45-49",1,16065,"06"
"45-49",2,15093,"06"
"5-9",1,24664,"06"
"5-9",2,25395,"06"
"50-54",1,13324,"06"
"50-54",2,12700,"06"
"55-59",1,11214,"06"
"55-59",2,10468,"06"
"60-64",1,10904,"06"
"60-64",2,10071,"06"
"65-69",1,8230,"06"
"65-69",2,7343,"06"
"70-74",1,6139,"06"
"70-74",2,5380,"06"
"75-79",1,4246,"06"
"75-79",2,3565,"06"
"80-84",1,2722,"06"
"80-84",2,2076,"06"
"85-89",1,1406,"06"
"85-89",2,923,"06"
"90-94",1,738,"06"
"90-94",2,395,"06"
"95-99",1,198,"06"
"95-99",2,116,"06"
"0-4",1,122527,"07"
"0-4",2,128226,"07"
"10-14",1,154107,"07"
"10-14",2,161044,"07"
"100+",1,84,"07"
"100+",2,48,"07"
"15-19",1,136209,"07"
"15-19",2,142284,"07"
"20-24",1,139783,"07"
"20-24",2,142143,"07"
"25-29",1,143558,"07"
"25-29",2,143427,"07"
"30-34",1,133807,"07"
"30-34",2,134545,"07"
"35-39",1,116108,"07"
"35-39",2,118139,"07"
"40-44",1,99086,"07"
"40-44",2,103989,"07"
"45-49",1,82137,"07"
"45-49",2,86549,"07"
"5-9",1,155905,"07"
"5-9",2,163040,"07"
"50-54",1,66382,"07"
"50-54",2,70809,"07"
"55-59",1,54034,"07"
"55-59",2,56125,"07"
"60-64",1,46516,"07"
"60-64",2,47345,"07"
"65-69",1,34016,"07"
"65-69",2,33931,"07"
"70-74",1,24038,"07"
"70-74",2,23386,"07"
"75-79",1,15471,"07"
"75-79",2,14587,"07"
"80-84",1,9324,"07"
"80-84",2,7884,"07"
"85-89",1,4545,"07"
"85-89",2,3204,"07"
"90-94",1,2070,"07"
"90-94",2,1228,"07"
"95-99",1,572,"07"
"95-99",2,393,"07"
"0-4",1,22299,"08"
"0-4",2,23505,"08"
"10-14",1,28377,"08"
"10-14",2,29409,"08"
"100+",1,17,"08"
"100+",2,11,"08"
"15-19",1,22879,"08"
"15-19",2,25335,"08"
"20-24",1,20601,"08"
"20-24",2,21316,"08"
"25-29",1,20205,"08"
"25-29",2,20301,"08"
"30-34",1,18290,"08"
"30-34",2,18610,"08"
"35-39",1,16113,"08"
"35-39",2,16826,"08"
"40-44",1,13587,"08"
"40-44",2,14920,"08"
"45-49",1,10783,"08"
"45-49",2,12163,"08"
"5-9",1,28134,"08"
"5-9",2,29678,"08"
"50-54",1,9208,"08"
"50-54",2,10248,"08"
"55-59",1,7525,"08"
"55-59",2,8411,"08"
"60-64",1,6422,"08"
"60-64",2,7241,"08"
"65-69",1,4543,"08"
"65-69",2,5329,"08"
"70-74",1,3270,"08"
"70-74",2,3756,"08"
"75-79",1,2140,"08"
"75-79",2,2400,"08"
"80-84",1,1280,"08"
"80-84",2,1288,"08"
"85-89",1,590,"08"
"85-89",2,533,"08"
"90-94",1,329,"08"
"90-94",2,262,"08"
"95-99",1,73,"08"
"95-99",2,53,"08"
"0-4",1,6091,"09"
"0-4",2,6090,"09"
"10-14",1,7590,"09"
"10-14",2,7937,"09"
"100+",1,1,"09"
"15-19",1,6228,"09"
"15-19",2,7230,"09"
"20-24",1,6213,"09"
"20-24",2,6825,"09"
"25-29",1,5776,"09"
"25-29",2,6287,"09"
"30-34",1,5296,"09"
"30-34",2,5788,"09"
"35-39",1,4694,"09"
"35-39",2,5291,"09"
"40-44",1,3857,"09"
"40-44",2,4557,"09"
"45-49",1,2921,"09"
"45-49",2,3552,"09"
"5-9",1,7522,"09"
"5-9",2,7894,"09"
"50-54",1,2117,"09"
"50-54",2,2884,"09"
"55-59",1,1690,"09"
"55-59",2,2072,"09"
"60-64",1,1308,"09"
"60-64",2,1692,"09"
"65-69",1,864,"09"
"65-69",2,1087,"09"
"70-74",1,536,"09"
"70-74",2,774,"09"
"75-79",1,340,"09"
"75-79",2,474,"09"
"80-84",1,174,"09"
"80-84",2,246,"09"
"85-89",1,92,"09"
"85-89",2,96,"09"
"90-94",1,37,"09"
"90-94",2,46,"09"
"95-99",1,8,"09"
"95-99",2,17,"09"
